numero_questao,enunciado,alternativas
46,"Em uma flauta, as notas musicais possuem 
frequências e comprimentos de onda (λ) muito bem 
definidos. As figuras mostram esquematicamente 
um tubo de comprimento L, que representa de forma 
simplificada uma flauta, em que estão representados: 
em A o primeiro harmônico de uma nota musical 
(comprimento de onda λA), em B seu segundo harmônico 
(comprimento de onda λB) e em C o seu terceiro 
harmônico (comprimento de onda λC), onde λA > λB > λC.
L
A
B
C
Em função do comprimento do tubo, qual o comprimento 
de onda da oscilação que forma o próximo harmônico?",A: L; B: L; C: L; D: L; E: 6L
47,"Durante a aula, um professor apresentou uma 
pesquisa nacional que mostrava que o consumo de sódio 
pelos adolescentes brasileiros é superior ao determinado 
pela Organização Mundial da Saúde. O professor, então, 
destacou que esse hábito deve ser evitado.
A doença associada a esse hábito é a",A: obesidade.; B: osteoporose.; C: diabetes tipo II.; D: hipertensão arterial.; E: hipercolesterolemia.
48,"O cladograma representa, de forma simplificada, o 
processo evolutivo de diferentes grupos de vertebrados. 
Nesses organismos, o desenvolvimento de ovos 
protegidos por casca rígida (pergaminácea ou calcárea) 
possibilitou a conquista do ambiente terrestre.
O surgimento da característica mencionada está 
representado, no cladograma, pelo número","A: 1.; B: 2.; C: 3.; D: 4.; E: 5."
49,"Um eletricista projeta um circuito com três lâmpadas 
incandescentes idênticas, conectadas conforme a figura. 
Deseja-se que uma delas fique sempre acesa, por isso é 
ligada diretamente aos polos da bateria, entre os quais se 
mantém uma tensão constante. As outras duas lâmpadas 
são conectadas em um fio separado, que contém uma 
chave. Com a chave aberta (desligada), a bateria fornece 
uma potência X.
2
Chave
Bateria
Assumindo que as lâmpadas obedeçam à Lei de Ohm, 
com a chave fechada, a potência fornecida pela bateria, 
em função de X, é:","A: 2
 X.; B: X.; C: 3
 X.; D: 2X.; E: 3X."
50,"O urânio é um elemento cujos átomos contêm 92 prótons, 
92 elétrons e entre 135 e 148 nêutrons. O isótopo de 
urânio 235U é utilizado como combustível em usinas 
nucleares, onde, ao ser bombardeado por nêutrons, sofre 
fissão de seu núcleo e libera uma grande quantidade 
de energia (2,35×1010 kJ/mol). O isótopo 235U ocorre 
naturalmente em minérios de urânio, com concentração 
de apenas 0,7%. Para ser utilizado na geração de 
energia nuclear, o minério é submetido a um processo 
de enriquecimento, visando aumentar a concentração do 
isótopo 235U para, aproximadamente, 3% nas pastilhas. 
Em décadas anteriores, houve um movimento mundial 
para aumentar a geração de energia nuclear buscando 
substituir, parcialmente, a geração de energia elétrica 
a partir da queima do carvão, o que diminui a emissão 
atmosférica de CO2 (gás com massa molar igual a 44 g/mol). 
A queima do carvão é representada pela equação química:
C (s) + O2 (g) → CO2 (g)       ∆H = −400 kJ/mol
Qual é a massa de CO2, em toneladas, que deixa de ser 
liberada na atmosfera, para cada 100 g de pastilhas de 
urânio enriquecido utilizadas em substituição ao carvão 
como fonte de energia?","A: 2,10; B: 7,70; C: 9,00; D: 33,0; E: 300"
51,"O cobre presente nos fios elétricos e instrumentos 
musicais é obtido a partir da ustulação do minério 
calcosita (Cu2S). Durante esse processo, ocorre o 
aquecimento desse sulfeto na presença de oxigênio, de 
forma que o cobre fique “livre” e o enxofre se combine 
com o O2 produzindo SO2, conforme a equação química:
Cu2S (s) + O2 (g) ∆ 2 Cu (l) + SO2 (g)
As massas molares dos elementos Cu e S são, 
respectivamente, iguais a 63,5 g/mol e 32 g/mol.
CANTO, E. L. Minerais, minérios, metais: de onde vêm?, para onde vão? 
São Paulo: Moderna, 1996 (adaptado).
Considerando que se queira obter 16 mols do metal em 
uma reação cujo rendimento é de 80%, a   massa, em 
gramas, do minério necessária para obtenção do cobre 
é igual a","A: 955.; B: 1 018.; C: 1 590.; D: 2 035.; E: 3 180."
52,"Sais de amônio são sólidos iônicos com alto ponto de fusão, muito mais solúveis em água que as aminas 
originais e ligeiramente solúveis em solventes orgânicos apolares, sendo compostos convenientes para serem 
usados em xaropes e medicamentos injetáveis. Um exemplo é a efedrina, que funde a 79 °C, tem um odor 
desagradável e oxida na presença do ar atmosférico formando produtos indesejáveis. O cloridrato de efedrina funde a 
217 °C, não se oxida e é inodoro, sendo o ideal para compor os medicamentos.
OH
OH
CH
CH
NHCH
+NH2CH3
HCl
Cl
+
Cloridrato de efedrina
Efedrina
−
SOUTO, C. R. O.; DUARTE, H. C. Química da vida: aminas. Natal: EDUFRN, 2006.
De acordo com o texto, que propriedade química das aminas possibilita a formação de sais de amônio estáveis, 
facilitando a manipulação de princípios ativos?",A: Acidez.; B: Basicidade.; C: Solubilidade.; D: Volatilidade.; E: Aromaticidade.
53,"Além de ser uma prática ilegal, a adulteração de combustíveis é prejudicial ao meio ambiente, ao governo e, 
especialmente, ao consumidor final. Em geral, essa adulteração é feita utilizando compostos com propriedades físicas 
semelhantes às do combustível, mas de menor valor agregado.
Considerando um combustível com 20% de adulterante, a mistura em que a adulteração seria identificada visualmente é",A: etanol e água.; B: etanol e acetona.; C: gasolina e água.; D: gasolina e benzeno.; E: gasolina e querosene.
54,"Sabe-se que nas proximidades dos polos do planeta Terra é comum a formação dos icebergs, que são grandes 
blocos de gelo, flutuando nas águas oceânicas. Estudos mostram que a parte de gelo que fica emersa durante a 
flutuação corresponde a aproximadamente 10% do seu volume total. Um estudante resolveu simular essa situação 
introduzindo um bloquinho de gelo no interior de um recipiente contendo água, observando a variação de seu nível 
desde o instante de introdução até o completo derretimento do bloquinho.
Com base nessa simulação, verifica-se que o nível da água no recipiente","A: subirá com a introdução do bloquinho de gelo e, após o derretimento total do gelo, esse nível subirá ainda mais.; B: subirá com a introdução do bloquinho de gelo e, após o derretimento total do gelo, esse nível descerá, voltando 
ao seu valor inicial.; C: subirá com a introdução do bloquinho de gelo e, após o derretimento total do gelo, esse nível permanecerá 
sem alteração.; D: não sofrerá alteração com a introdução do bloquinho de gelo, porém, após seu derretimento, o nível subirá devido 
a um aumento em torno de 10% no volume de água.; E: subirá em torno de 90% do seu valor inicial com a introdução do bloquinho de gelo e, após seu derretimento, o 
nível descerá apenas 10% do valor inicial."
55,"A rede elétrica de uma residência tem tensão de 
110 V e o morador compra, por engano, uma lâmpada 
incandescente com potência nominal de 100 W e tensão 
nominal de 220 V.
Se essa lâmpada for ligada na rede de 110 V, o que 
acontecerá?","A: A lâmpada brilhará normalmente, mas como a tensão 
é a metade da prevista, a corrente elétrica será o 
dobro da normal, pois a potência elétrica é o produto 
de tensão pela corrente.; B: A lâmpada não acenderá, pois ela é feita para trabalhar 
apenas com tensão de 220 V, e não funciona com 
tensão abaixo desta.; C: A lâmpada irá acender dissipando uma potência de 
50 W, pois como a tensão é metade da esperada, a 
potência também será reduzida à metade.; D: A lâmpada irá brilhar fracamente, pois com a metade 
da tensão nominal, a corrente elétrica também será 
menor e a potência dissipada será menos da metade 
da nominal.; E: A lâmpada queimará, pois como a tensão é menor do 
que a esperada, a corrente será maior, ultrapassando 
a corrente para a qual o filamento foi projetado."
