CO_PROVA_CN;questao_1;questao_2;questao_3;questao_4;questao_5;questao_6;questao_7;questao_8;questao_9;questao_10;questao_11;questao_12;questao_13;questao_14;questao_15;questao_16;questao_17;questao_18;questao_19;questao_20;questao_21;questao_22;questao_23;questao_24;questao_25;questao_26;questao_27;questao_28;questao_29;questao_30;questao_31;questao_32;questao_33;questao_34;questao_35;questao_36;questao_37;questao_38;questao_39;questao_40;questao_41;questao_42;questao_43;questao_44;questao_45
89.0;B;E;A;E;C;B;C;A;C;B;A;B;A;B;A;D;C;D;D;A;E;B;A;D;C;B;B;E;D;B;C;A;B;A;D;D;B;D;B;A;E;E;D;D;D
89.0;B;A;C;E;D;D;C;A;E;C;A;B;D;D;A;C;B;A;E;B;B;C;B;D;C;E;E;D;D;B;B;D;B;A;A;E;B;B;D;A;C;E;D;D;C
89.0;B;C;A;E;D;A;C;D;E;A;B;D;C;A;B;B;D;A;E;C;A;B;D;C;E;C;D;D;A;E;D;E;B;B;D;E;B;C;D;E;C;B;D;D;C
89.0;B;C;E;E;E;B;C;A;E;B;A;D;E;C;A;E;B;A;E;D;E;D;B;A;D;B;D;E;C;B;E;B;B;E;B;E;E;B;D;E;C;B;D;D;D
89.0;B;E;E;E;E;B;C;B;B;D;A;B;A;E;B;B;E;A;E;B;A;D;D;E;A;C;B;D;C;A;C;B;C;D;C;D;B;C;B;E;D;D;C;B;E
89.0;A;D;A;E;B;A;C;A;C;C;C;D;E;B;A;A;B;A;C;E;D;C;B;A;A;C;E;C;B;B;C;D;C;B;C;A;A;B;B;C;B;B;A;C;A
89.0;B;D;D;E;E;E;C;A;E;B;A;B;C;D;A;C;A;E;E;E;E;E;B;C;C;C;C;C;A;B;A;A;B;A;A;C;D;D;D;D;D;B;B;B;B
89.0;B;B;C;E;E;B;C;D;D;B;A;D;E;D;C;D;D;D;B;C;C;D;D;A;B;D;C;B;D;E;B;C;D;B;B;D;B;C;C;C;B;D;D;B;D
89.0;D;E;A;E;C;D;C;D;A;E;C;D;C;D;B;B;D;A;E;D;E;D;E;A;C;D;B;C;A;E;A;C;D;D;B;C;B;C;E;C;C;B;C;E;D
89.0;B;B;A;E;B;B;C;E;B;C;A;B;D;D;A;C;C;A;B;B;A;C;E;C;E;A;C;C;C;B;B;C;B;B;D;B;C;D;A;C;B;E;D;D;C
89.0;B;A;C;E;C;E;C;A;A;B;A;B;B;D;A;C;B;A;B;E;D;B;E;D;A;E;C;C;D;B;B;D;C;D;E;E;A;B;D;A;C;E;D;D;C
89.0;B;E;A;E;C;C;C;D;A;C;C;B;C;D;A;B;D;D;D;B;C;D;C;D;C;A;C;D;E;B;A;A;B;D;*;A;A;A;B;D;C;C;D;D;D
89.0;D;E;B;E;D;B;E;D;C;C;C;B;C;E;A;B;B;E;E;D;E;D;D;E;C;C;C;C;D;B;D;C;C;A;C;E;C;C;E;E;E;D;A;C;C
89.0;B;A;C;E;A;D;C;D;E;C;A;B;D;D;A;C;B;A;B;E;A;B;E;D;A;E;E;C;E;B;B;D;B;D;E;E;B;A;D;E;C;E;D;D;C
89.0;B;B;A;E;A;C;E;A;A;C;A;B;D;D;C;B;A;D;E;D;E;A;B;C;B;E;B;C;C;D;C;A;B;A;C;B;C;C;A;C;D;D;B;E;A
89.0;C;D;D;E;D;B;C;D;B;E;C;B;D;A;D;B;B;A;E;C;D;E;C;B;D;B;D;C;B;B;D;C;A;C;B;D;B;A;C;D;D;E;A;B;A
89.0;B;D;C;E;E;C;D;D;A;B;A;D;D;C;A;E;B;D;E;B;D;D;C;D;D;C;D;C;C;B;A;E;B;D;C;E;E;D;E;D;E;D;D;B;A
89.0;D;D;C;E;C;D;D;A;A;D;D;D;C;B;B;B;B;E;E;E;A;C;D;B;B;D;C;C;D;B;C;C;E;B;C;E;B;C;C;D;B;D;B;A;D
89.0;B;A;C;E;A;D;C;A;D;E;A;D;D;D;A;C;B;A;D;B;D;D;E;B;E;E;A;C;D;B;C;D;B;D;E;E;E;B;C;E;C;E;D;D;C
89.0;A;B;C;E;B;B;C;A;A;C;A;D;C;D;C;B;C;C;C;C;B;C;D;C;E;C;B;D;B;B;D;B;E;A;B;D;C;D;C;D;D;A;A;A;D
89.0;A;B;D;E;E;E;C;A;E;B;A;B;B;D;A;C;B;A;D;E;A;D;B;D;A;B;D;D;C;B;B;C;C;D;B;E;B;D;D;A;C;E;D;D;C
89.0;D;D;C;E;B;C;B;D;A;D;D;D;E;D;B;B;D;E;D;B;C;C;C;B;B;B;D;B;A;E;E;A;B;A;D;B;C;B;A;E;B;C;D;D;B
89.0;B;B;B;E;A;D;C;D;D;B;A;B;E;E;A;C;B;B;A;E;E;C;B;D;B;B;D;D;E;B;A;B;B;E;A;E;C;C;A;C;A;E;D;D;A
89.0;B;D;A;E;E;D;C;A;A;E;C;D;B;E;A;B;A;A;A;D;C;A;E;C;E;C;B;B;C;D;C;C;B;E;C;E;D;A;D;D;C;E;D;D;C
89.0;B;A;D;E;B;B;C;D;A;C;A;D;B;D;D;B;A;E;E;C;E;D;B;A;C;B;E;B;D;B;C;D;D;A;C;E;B;D;C;E;C;C;D;B;B
89.0;A;E;C;E;E;B;C;A;A;C;A;D;A;D;A;B;E;A;A;A;C;E;D;C;B;A;C;E;D;B;D;E;B;A;D;B;E;B;A;C;B;B;D;D;C
89.0;C;E;A;E;E;B;C;D;A;E;D;D;B;C;E;A;C;D;E;B;D;E;B;C;A;C;D;A;C;B;E;A;B;D;B;E;A;D;A;D;E;E;E;C;D
89.0;E;E;D;E;B;A;C;C;A;B;A;A;C;D;C;B;.;C;E;D;D;E;A;A;E;A;C;E;C;D;B;C;E;C;D;E;C;D;A;D;D;E;D;C;D
89.0;B;E;E;E;C;D;C;E;E;B;D;D;E;B;B;C;B;D;E;C;B;D;B;A;C;E;B;E;C;B;C;D;D;E;D;C;C;A;B;C;A;E;D;D;D
89.0;B;E;C;E;A;A;C;A;D;C;C;B;D;D;B;E;D;C;A;D;E;B;A;C;B;*;A;B;E;B;B;E;B;C;B;E;D;D;C;D;A;A;D;B;D
89.0;C;E;E;E;E;B;C;A;D;C;A;D;C;B;E;C;C;D;C;D;E;B;B;C;B;D;D;D;D;D;C;E;E;D;D;B;C;B;E;C;B;D;E;C;E
89.0;B;D;C;E;E;B;C;D;E;B;A;B;E;D;D;B;B;E;E;C;C;C;E;B;E;A;C;B;B;B;A;A;C;E;D;B;A;B;D;C;C;D;B;E;E
89.0;A;B;B;E;C;D;C;E;E;E;D;B;D;D;B;C;B;A;B;B;E;A;D;B;B;B;B;C;C;B;C;B;B;E;C;E;A;B;D;A;E;B;A;E;B
89.0;B;D;E;E;C;D;C;A;E;C;A;D;D;D;A;C;B;A;E;E;C;B;D;E;C;B;A;C;D;B;B;C;C;B;C;E;C;B;C;C;C;C;D;D;C
89.0;A;B;B;E;B;A;C;B;A;D;B;A;B;E;D;B;A;E;C;*;A;C;B;A;E;C;D;C;B;D;B;B;C;B;D;B;D;C;A;A;B;C;C;B;B
89.0;E;E;A;E;D;A;E;A;E;D;D;D;A;C;A;C;E;E;A;A;B;C;E;B;A;E;E;C;E;A;A;B;B;D;E;E;B;A;C;B;D;B;C;D;D
89.0;B;E;C;E;C;B;A;A;E;C;A;D;C;D;B;D;E;B;E;B;E;C;A;C;B;E;B;C;D;A;E;A;B;C;D;A;C;D;D;D;B;D;E;E;D
89.0;B;B;A;E;C;B;C;A;C;B;A;D;E;D;A;C;B;A;B;D;E;E;D;C;B;C;A;B;B;D;C;A;B;D;C;B;C;E;A;D;D;B;A;A;B
89.0;B;E;C;E;B;B;C;A;E;B;A;D;E;D;B;C;A;E;D;B;E;E;D;A;A;E;A;C;E;E;A;C;B;C;E;E;A;A;B;E;D;D;C;B;A
89.0;B;A;A;E;A;C;C;D;B;B;A;A;D;D;A;C;B;A;D;B;C;C;A;A;A;B;A;A;A;B;C;C;B;A;A;C;E;A;D;E;C;A;D;E;C
89.0;C;E;A;B;E;A;C;E;D;E;D;C;D;B;B;C;C;C;E;A;E;D;A;C;A;A;E;E;B;D;B;B;E;A;B;D;D;A;A;E;E;C;B;.;C
89.0;B;D;D;E;B;D;C;D;B;C;C;D;D;D;D;C;B;A;B;E;A;C;D;B;C;B;E;C;D;E;E;C;D;E;C;B;E;A;C;B;C;E;D;B;C
89.0;B;B;A;E;E;A;D;D;A;B;A;B;B;D;C;C;B;C;B;B;A;D;D;C;C;D;C;E;B;B;E;B;A;B;D;B;C;A;B;D;E;D;D;E;E
