CO_PROVA_CN;questao_1;questao_2;questao_3;questao_4;questao_5;questao_6;questao_7;questao_8;questao_9;questao_10;questao_11;questao_12;questao_13;questao_14;questao_15;questao_16;questao_17;questao_18;questao_19;questao_20;questao_21;questao_22;questao_23;questao_24;questao_25;questao_26;questao_27;questao_28;questao_29;questao_30;questao_31;questao_32;questao_33;questao_34;questao_35;questao_36;questao_37;questao_38;questao_39;questao_40;questao_41;questao_42;questao_43;questao_44;questao_45
407.0;D;A;A;C;A;D;E;E;B;A;A;A;A;C;D;C;E;E;C;B;D;E;A;A;C;C;C;A;E;D;B;D;A;E;C;B;B;C;C;E;B;D;A;C;D
407.0;A;D;A;B;A;B;A;A;A;C;E;C;D;C;E;A;E;A;C;A;A;A;D;A;A;A;D;A;E;A;E;A;D;C;A;C;B;A;A;D;A;C;E;E;E
407.0;D;E;E;E;B;E;E;C;C;E;E;B;C;A;E;E;D;A;C;E;D;D;D;A;E;C;E;E;A;C;E;C;C;E;E;D;D;E;A;B;E;D;E;B;B
407.0;A;A;D;D;B;E;D;A;E;A;C;E;B;D;A;B;B;B;B;A;A;C;E;E;D;A;C;B;B;E;E;C;D;D;E;E;C;E;D;B;B;C;D;A;B
407.0;A;C;E;B;D;C;D;C;D;A;D;B;E;D;D;B;D;E;C;E;D;A;B;A;C;A;A;D;A;B;C;B;B;B;E;E;A;D;D;E;B;B;E;A;A
407.0;D;B;A;B;E;D;A;C;E;B;B;D;B;E;C;D;D;B;E;A;D;E;C;E;A;B;C;B;A;D;E;E;A;C;E;C;B;E;A;D;C;E;E;A;B
407.0;B;C;C;B;D;A;E;A;E;D;C;B;A;C;A;B;E;D;D;E;E;D;E;B;B;A;A;E;B;E;E;C;B;C;D;E;B;C;E;E;E;E;D;B;B
407.0;C;E;D;B;B;B;A;D;E;E;C;E;B;E;B;B;D;E;E;D;B;A;B;B;C;A;E;C;A;A;E;E;B;C;B;E;B;C;D;B;E;C;E;A;B
407.0;A;A;B;C;E;B;E;E;B;D;B;E;C;C;A;D;D;D;C;B;C;B;A;D;A;A;A;B;B;A;E;B;A;E;C;B;E;B;B;E;E;C;D;A;C
407.0;D;C;B;B;A;B;A;A;E;B;C;C;B;D;A;C;A;D;B;A;D;B;C;D;B;A;C;A;D;C;B;E;B;C;A;E;C;D;D;A;D;E;C;C;B
407.0;C;A;C;C;D;B;E;C;E;B;B;A;E;B;C;E;A;D;D;E;B;D;E;E;D;D;D;A;C;C;E;C;C;B;A;A;B;A;D;C;E;C;D;D;B
407.0;E;A;E;A;D;E;C;A;E;E;D;E;E;B;E;B;E;B;A;E;E;D;E;B;E;D;D;A;E;A;E;E;B;E;B;E;A;B;A;A;A;E;C;E;A
