CO_PROVA_CN;questao_1;questao_2;questao_3;questao_4;questao_5;questao_6;questao_7;questao_8;questao_9;questao_10;questao_11;questao_12;questao_13;questao_14;questao_15;questao_16;questao_17;questao_18;questao_19;questao_20;questao_21;questao_22;questao_23;questao_24;questao_25;questao_26;questao_27;questao_28;questao_29;questao_30;questao_31;questao_32;questao_33;questao_34;questao_35;questao_36;questao_37;questao_38;questao_39;questao_40;questao_41;questao_42;questao_43;questao_44;questao_45
291.0;D;D;A;D;A;A;D;A;C;B;A;C;B;C;D;C;C;C;D;A;A;A;E;A;C;A;B;A;E;D;B;D;D;B;C;D;E;E;A;A;A;A;E;E;A
291.0;B;D;A;A;A;B;D;C;C;A;B;A;A;E;C;C;A;D;D;A;B;D;B;B;C;C;D;C;D;A;D;D;A;B;D;D;D;B;D;E;D;A;C;E;E
291.0;D;E;A;B;E;B;D;B;A;B;A;E;A;A;C;A;A;D;A;E;E;B;D;C;A;D;E;C;A;E;A;B;C;B;E;B;D;D;A;D;B;B;E;D;A
291.0;D;D;C;D;D;D;E;D;C;B;*;E;D;E;D;D;E;D;D;D;E;D;B;B;E;E;C;D;C;D;C;D;E;D;E;D;B;D;D;E;D;D;D;D;E
291.0;B;D;A;D;B;D;A;D;B;D;E;E;E;C;B;E;C;D;D;C;C;D;C;B;E;C;D;A;D;A;C;C;B;C;B;C;D;C;B;D;D;B;D;D;E
291.0;A;B;C;A;E;B;D;A;C;B;D;B;B;E;A;C;A;A;C;A;E;C;B;D;E;A;C;B;A;E;E;D;A;B;D;C;D;C;D;B;D;A;B;A;B
291.0;A;C;E;D;B;C;C;E;D;B;A;D;C;B;C;E;C;B;D;A;C;B;C;A;D;C;E;B;A;D;E;B;A;C;A;E;D;C;E;A;D;B;C;D;A
291.0;A;B;D;B;E;E;C;E;A;B;A;A;B;B;C;B;B;B;E;A;C;A;E;A;C;A;A;C;C;E;E;D;D;B;D;E;A;E;C;C;A;B;D;E;E
291.0;C;B;A;B;B;B;E;D;C;D;A;A;D;B;D;C;A;B;D;E;D;D;A;A;C;C;D;B;C;E;C;B;E;B;B;A;C;B;A;C;D;E;D;A;E
291.0;B;B;C;A;E;B;C;B;A;C;C;B;A;D;B;B;C;B;B;B;D;B;D;E;C;C;B;B;C;E;C;A;A;B;D;C;A;C;A;A;B;A;E;E;A
291.0;B;D;C;D;E;A;E;D;E;B;B;C;D;B;D;A;A;B;C;A;A;C;E;D;E;A;A;B;A;D;C;A;C;D;D;B;A;C;E;D;B;A;C;A;A
291.0;E;B;D;A;C;A;D;D;A;B;B;E;A;B;B;A;C;B;C;A;E;D;B;B;C;C;E;A;B;A;D;C;B;A;A;B;C;D;E;C;D;D;B;A;B
291.0;B;B;D;A;D;A;D;B;B;A;A;E;D;B;A;A;B;D;B;C;D;A;E;E;E;D;C;E;C;D;E;C;A;B;C;A;A;B;B;D;B;A;E;E;E
291.0;B;C;C;A;A;D;C;B;B;E;A;A;A;B;D;C;D;B;E;C;C;A;B;A;B;C;E;B;B;A;E;B;D;D;A;E;D;C;C;B;B;*;A;D;B
291.0;E;B;E;A;D;D;E;E;B;B;B;C;B;A;D;C;A;D;B;B;D;A;C;C;C;D;E;C;A;D;C;B;A;B;A;E;B;E;A;E;B;C;A;B;D
291.0;A;C;A;A;A;C;C;A;A;D;A;C;E;C;A;A;C;C;D;C;E;A;B;A;C;A;C;C;D;D;B;B;C;A;D;A;C;A;E;A;D;E;C;A;A
291.0;B;C;A;A;A;D;D;D;C;E;E;A;B;A;A;C;B;B;D;A;D;.;D;A;E;A;B;C;A;A;E;A;C;B;A;B;A;B;E;B;D;E;A;E;A
291.0;A;D;A;B;D;B;C;B;B;A;A;E;D;B;C;A;B;D;C;D;D;A;D;A;E;D;E;C;E;A;D;C;C;D;A;B;C;B;A;E;B;E;A;E;A
291.0;B;C;B;A;E;B;C;D;C;D;B;B;C;B;C;B;C;B;D;C;D;B;B;A;C;D;D;E;B;D;B;A;E;D;E;A;D;A;A;A;C;C;B;E;E
291.0;B;C;C;E;D;B;C;D;C;A;E;E;A;A;D;C;C;B;B;A;D;D;D;A;E;C;E;C;D;C;A;B;D;B;E;E;C;C;D;A;A;C;C;E;E
291.0;B;D;D;B;E;B;D;C;C;D;B;B;A;C;D;C;A;D;B;B;A;D;C;A;D;A;D;E;C;A;A;D;C;B;D;C;A;C;A;A;B;A;D;C;A
