CO_PROVA_CN;questao_1;questao_2;questao_3;questao_4;questao_5;questao_6;questao_7;questao_8;questao_9;questao_10;questao_11;questao_12;questao_13;questao_14;questao_15;questao_16;questao_17;questao_18;questao_19;questao_20;questao_21;questao_22;questao_23;questao_24;questao_25;questao_26;questao_27;questao_28;questao_29;questao_30;questao_31;questao_32;questao_33;questao_34;questao_35;questao_36;questao_37;questao_38;questao_39;questao_40;questao_41;questao_42;questao_43;questao_44;questao_45
1092.0;D;B;E;E;C;B;B;D;B;A;A;C;A;B;C;B;C;B;E;A;C;B;C;D;E;D;D;B;C;D;A;B;D;A;C;A;B;B;D;B;C;A;B;C;A
1092.0;A;C;B;A;A;A;A;A;D;B;A;C;A;E;A;A;B;C;E;E;B;D;B;A;A;C;E;C;B;A;B;E;D;A;E;E;C;D;A;C;A;A;A;A;A
1092.0;A;C;D;C;D;A;D;C;E;C;B;A;E;B;E;E;C;C;E;A;C;E;E;B;C;E;E;B;C;D;A;E;B;A;B;D;C;D;B;A;C;E;D;D;B
1092.0;C;C;E;A;D;C;E;B;D;C;E;D;C;A;E;B;B;A;C;E;E;C;D;E;C;E;E;E;A;D;B;A;C;A;E;D;B;C;C;D;C;A;D;E;E
1092.0;A;B;B;C;A;C;C;C;A;A;C;A;A;B;E;C;A;E;A;C;A;D;C;D;E;E;A;E;C;D;B;B;E;D;C;E;B;B;E;C;C;A;C;E;B
1092.0;B;C;D;C;E;C;B;B;C;D;E;C;A;B;B;C;D;A;B;A;B;B;B;E;D;E;A;B;A;D;B;C;C;D;E;C;A;A;E;C;E;C;A;E;A
1092.0;A;C;B;D;D;A;A;C;C;C;E;C;B;E;C;C;B;A;C;C;B;E;C;D;A;D;D;C;D;A;E;A;C;D;E;E;A;C;B;A;C;A;D;C;D
1092.0;E;B;B;B;B;A;A;B;E;A;A;A;D;B;C;B;B;C;C;C;C;D;E;C;B;B;A;C;B;C;B;B;E;E;B;A;C;C;E;A;E;E;A;C;E
1092.0;C;A;B;C;D;B;C;B;C;B;A;A;A;B;C;D;B;D;E;C;C;D;A;C;C;D;B;B;D;E;C;C;E;A;A;D;D;A;D;E;C;E;A;B;A
1092.0;B;E;C;B;A;A;C;A;D;A;E;D;B;E;C;D;D;B;C;B;C;A;B;D;A;C;E;D;B;D;A;C;B;A;D;A;A;D;E;B;D;D;A;C;D
1092.0;D;C;D;C;C;C;E;A;C;A;B;D;A;D;A;E;A;A;C;A;C;D;D;C;C;D;E;E;C;E;A;B;E;A;E;B;A;E;B;C;C;D;E;D;B
1092.0;A;D;B;D;C;C;E;A;C;D;D;C;D;D;E;C;B;C;E;E;B;C;A;B;A;B;D;E;B;A;B;C;C;D;C;C;B;A;E;B;E;C;B;C;A
1092.0;E;D;B;E;E;E;E;B;D;D;D;A;D;C;E;E;B;B;D;D;D;D;D;C;C;E;A;E;C;E;E;E;D;E;C;D;E;C;D;C;D;D;E;D;E
1092.0;D;D;B;C;B;D;D;D;D;D;D;C;A;B;E;B;D;D;E;A;D;D;C;D;D;D;E;E;D;C;C;C;D;D;D;D;E;C;D;D;D;D;D;D;B
1092.0;D;C;A;C;B;C;D;B;A;B;A;C;D;B;A;C;A;E;D;A;B;A;C;B;E;D;E;A;D;D;A;E;B;C;C;B;E;A;D;B;C;D;B;E;A
1092.0;A;C;E;C;D;C;C;A;B;C;A;A;B;A;A;B;A;B;E;C;B;B;E;A;E;D;A;B;D;D;E;E;C;B;B;B;C;A;C;B;C;E;B;C;E
1092.0;C;A;E;E;A;C;A;B;B;C;A;C;D;E;A;C;B;A;C;C;A;D;B;C;E;C;E;B;B;A;A;E;E;A;A;B;A;A;D;C;B;A;D;E;A
1092.0;A;C;D;E;C;C;D;D;D;C;D;E;D;C;D;B;B;A;C;C;D;D;D;D;D;D;C;D;A;D;D;E;C;D;B;D;E;B;E;D;C;D;D;C;E
1092.0;A;B;B;D;C;D;A;A;D;E;A;A;B;B;E;A;A;C;C;A;A;D;C;D;C;C;E;C;B;D;B;A;E;A;D;E;B;E;E;A;C;A;D;B;C
1092.0;E;C;C;E;B;C;C;D;E;A;E;A;C;E;D;B;C;A;C;E;C;A;A;D;D;E;E;A;B;E;B;C;D;A;C;D;C;B;A;B;C;D;A;B;A
1092.0;A;E;E;A;C;B;A;B;C;B;A;C;A;E;A;E;D;E;B;A;C;E;C;C;A;E;E;E;E;A;C;E;E;B;B;C;E;C;C;A;C;E;D;B;A
1092.0;D;C;A;C;C;C;C;A;C;A;A;B;A;C;D;D;D;D;B;C;C;C;C;C;A;D;A;E;E;E;E;E;E;E;E;B;B;A;A;A;A;A;C;C;C
1092.0;E;D;E;C;A;C;A;C;A;C;D;B;D;E;A;A;D;B;A;C;E;D;C;B;C;B;E;B;A;A;B;D;C;E;B;A;B;D;B;D;E;C;A;B;A
1092.0;D;E;B;B;D;E;C;A;E;D;B;A;B;B;A;E;B;A;D;A;B;A;C;D;E;E;D;E;C;C;A;E;D;C;B;C;B;D;C;E;C;B;C;D;C
1092.0;B;C;D;D;E;A;B;C;D;E;A;B;C;D;E;E;D;C;B;A;D;B;A;C;B;D;C;A;A;B;C;D;E;A;B;C;D;E;E;D;C;B;A;D;E
1092.0;A;C;A;A;C;B;D;B;A;B;E;A;A;B;C;A;D;C;C;D;C;A;A;C;D;A;C;C;D;A;A;E;C;C;D;E;B;E;E;A;D;C;B;C;D
1092.0;E;E;D;D;C;B;C;E;C;E;B;A;D;B;D;B;B;E;B;C;B;B;A;D;E;E;C;C;A;D;A;E;A;A;E;B;B;A;C;D;B;A;D;B;C
1092.0;B;D;E;E;D;C;C;A;C;B;A;D;A;B;D;B;D;A;E;E;B;C;A;B;E;E;B;A;B;E;A;E;E;B;E;D;A;B;A;A;D;D;A;D;C
1092.0;E;D;D;D;D;E;E;A;E;D;A;E;B;B;A;B;C;B;B;C;C;B;C;C;D;B;B;C;B;D;B;B;B;A;A;B;B;B;D;B;A;E;B;C;E
1092.0;A;C;D;E;B;C;D;A;B;B;E;C;B;D;A;E;B;C;D;B;A;E;C;B;D;C;D;A;B;B;D;C;A;C;B;E;E;A;D;C;B;E;B;C;D
1092.0;D;B;E;D;E;A;E;B;B;D;E;C;A;E;B;B;C;B;E;C;A;B;E;C;D;B;E;B;C;E;E;C;D;E;D;B;D;A;B;A;E;C;E;D;E
1092.0;C;B;E;D;C;C;A;B;A;C;B;C;D;A;D;D;C;E;E;C;D;A;E;C;D;E;E;E;D;E;A;D;E;E;B;A;E;B;D;A;B;A;D;D;A
1092.0;A;B;A;D;B;B;A;B;C;C;E;B;D;D;C;A;B;B;E;A;C;E;B;A;A;B;E;A;B;E;A;C;B;A;B;E;A;C;E;C;C;A;C;B;A
1092.0;B;C;D;B;E;D;A;D;C;D;A;C;E;C;C;B;E;C;E;B;C;A;D;B;D;D;A;B;C;D;E;A;B;C;D;E;A;B;C;D;E;A;B;C;D
1092.0;D;B;D;C;D;C;E;B;C;C;B;E;B;C;B;E;A;B;D;A;B;E;D;D;B;D;A;E;B;A;A;C;B;D;A;B;A;A;D;A;C;A;D;B;B
1092.0;D;D;B;D;D;B;D;D;C;C;A;E;A;C;A;B;E;B;E;C;B;E;D;B;C;E;B;A;B;E;B;B;C;A;A;C;B;E;E;C;E;A;B;E;A
1092.0;A;B;D;E;C;C;A;B;E;B;A;C;B;B;A;A;A;C;E;D;A;E;E;C;E;E;A;E;C;C;A;A;D;C;B;E;B;C;E;D;E;E;B;D;D
1092.0;A;D;E;A;B;C;B;A;C;C;A;C;D;B;D;D;B;D;A;B;B;D;B;C;D;D;B;B;A;A;B;C;C;A;B;D;B;A;B;C;B;A;C;D;B
1092.0;A;B;E;D;C;C;A;A;B;D;B;B;B;B;D;B;B;A;C;A;A;D;D;C;B;B;D;C;A;A;A;C;D;C;C;C;B;A;C;A;B;A;D;D;C
1092.0;A;D;B;A;C;C;A;E;B;E;D;D;A;E;D;D;B;C;B;E;B;D;E;E;D;A;B;C;C;A;B;E;E;B;D;D;A;E;A;C;C;D;A;C;B
1092.0;C;C;E;D;C;A;B;B;A;C;D;A;B;A;C;E;B;D;C;E;D;B;E;D;C;E;A;B;B;E;B;E;C;A;A;B;A;A;D;D;C;B;E;C;A
1092.0;B;C;D;A;B;B;C;C;A;E;D;B;B;A;C;C;B;C;C;B;A;E;D;B;E;A;A;A;C;D;C;E;C;A;B;E;D;C;E;B;D;A;C;C;A
1092.0;A;B;E;C;D;C;E;A;C;B;A;C;D;B;D;B;B;E;E;B;D;C;E;C;D;D;E;A;C;D;A;C;B;E;A;A;B;C;C;B;A;E;E;C;E
1092.0;E;D;B;C;A;C;D;E;B;C;B;B;E;A;A;B;B;E;C;B;A;D;A;A;D;E;E;E;A;E;B;C;B;C;A;B;E;B;E;D;D;B;A;C;B
1092.0;D;C;E;B;C;C;B;C;E;C;A;C;A;B;A;B;D;A;E;A;C;D;D;B;E;C;B;A;C;C;E;E;A;D;D;D;E;B;D;C;C;A;D;B;A
1092.0;A;B;B;C;C;B;A;E;C;C;A;B;E;B;B;D;E;C;D;D;C;C;A;D;D;D;B;A;C;C;D;C;D;C;E;E;B;B;D;A;E;B;B;D;A
1092.0;D;B;A;D;E;C;A;C;D;D;E;E;E;B;A;A;A;A;C;E;D;D;D;B;D;B;C;C;E;A;B;C;C;B;C;B;D;C;C;C;C;D;C;D;A
