CO_PROVA_CN;questao_1;questao_2;questao_3;questao_4;questao_5;questao_6;questao_7;questao_8;questao_9;questao_10;questao_11;questao_12;questao_13;questao_14;questao_15;questao_16;questao_17;questao_18;questao_19;questao_20;questao_21;questao_22;questao_23;questao_24;questao_25;questao_26;questao_27;questao_28;questao_29;questao_30;questao_31;questao_32;questao_33;questao_34;questao_35;questao_36;questao_37;questao_38;questao_39;questao_40;questao_41;questao_42;questao_43;questao_44;questao_45
275.0;B;D;C;D;D;B;E;B;A;E;A;D;D;E;C;B;B;C;B;D;A;C;A;A;D;A;E;E;C;B;E;E;B;A;D;E;D;A;C;C;B;C;E;D;C
275.0;B;D;C;A;B;B;C;C;C;A;A;E;D;C;B;B;E;D;B;C;D;B;A;E;D;B;E;E;B;C;C;A;C;C;E;B;B;B;C;C;C;D;B;E;A
275.0;B;B;C;E;B;A;E;C;A;E;A;D;E;C;E;B;C;A;B;D;D;A;A;A;D;A;A;D;D;C;E;C;C;C;B;C;B;E;D;D;C;D;A;C;A
275.0;B;D;D;D;D;B;E;A;C;B;D;D;E;D;E;B;D;C;B;D;C;C;E;A;B;C;A;C;D;D;C;C;A;B;C;C;B;C;C;C;D;D;B;B;B
275.0;B;D;A;A;D;B;E;A;E;A;D;D;C;C;A;E;A;B;D;D;B;E;A;C;B;E;B;D;A;B;B;C;B;E;E;C;A;B;A;D;E;E;A;B;A
275.0;A;C;D;B;B;D;C;A;A;B;B;A;C;B;D;A;C;A;B;D;C;D;A;E;D;B;D;D;D;E;E;A;E;C;C;E;D;A;B;B;E;D;B;D;E
275.0;E;D;D;C;C;D;E;E;A;E;A;A;C;B;D;C;E;A;B;D;D;B;E;A;C;A;B;E;B;E;B;D;C;A;A;E;B;D;C;C;E;D;A;D;E
275.0;B;D;B;B;A;E;A;A;D;E;C;D;D;B;D;B;A;C;D;A;D;E;B;E;C;A;D;D;E;C;E;B;A;B;D;B;C;D;E;C;D;E;A;D;D
275.0;C;D;C;A;D;B;D;B;E;D;A;C;B;C;C;E;A;B;B;C;D;C;A;B;A;C;C;D;B;C;D;B;A;B;C;D;B;A;E;C;D;E;E;D;B
275.0;A;A;C;D;B;D;A;E;A;E;A;B;D;B;A;C;C;A;B;C;D;E;B;A;E;B;D;B;C;C;B;E;A;C;B;B;D;B;A;D;A;*;E;A;E
275.0;E;A;D;C;E;C;E;A;E;E;A;D;E;D;C;E;C;A;D;E;B;C;A;E;D;E;A;E;D;C;E;E;B;E;B;C;E;D;A;D;C;E;A;D;C
275.0;D;C;E;B;A;B;E;D;A;B;E;A;C;C;E;B;D;E;D;D;A;C;E;C;A;C;D;E;D;A;C;D;D;B;C;E;C;A;D;E;A;D;A;A;E
275.0;B;D;C;B;D;B;C;A;A;B;B;A;E;B;A;D;C;C;B;D;C;A;A;E;B;E;B;B;C;C;A;A;E;B;A;D;B;B;C;B;E;D;A;D;D
275.0;B;D;B;D;A;C;E;A;C;B;C;B;C;C;C;D;D;D;D;C;C;A;C;B;E;B;B;E;A;B;E;C;E;B;D;D;A;B;C;D;A;D;E;C;E
275.0;C;D;D;A;D;E;E;A;C;C;D;A;B;C;D;E;C;C;B;D;E;B;C;E;C;C;C;C;C;B;B;B;E;C;D;B;C;B;E;A;A;D;E;E;E
