numero_questao,enunciado,alternativas,nu_param_B,gabarito
91,"É comum em viagens de avião sermos solicitados a 
desligar aparelhos cujo funcionamento envolva a emissão 
ou a recepção de ondas eletromagnéticas, como celulares. 
A justificativa dada para esse procedimento é, entre 
outras coisas, a necessidade de eliminar fontes de sinais 
eletromagnéticos que possam interferir nas comunicações, 
via rádio, dos pilotos com a torre de controle.
Essa interferência poderá ocorrer somente se as ondas 
emitidas pelo celular e as recebidas pelo rádio do avião",A: forem ambas audíveis.; B: tiverem a mesma potência.; C: tiverem a mesma frequência.; D: tiverem a mesma intensidade.; E: propagarem-se com velocidades diferentes.,-0.45616,C
92,"Terpenos com atividade inseticida:  
uma alternativa para o controle químico de insetos
O Aldrin é um inseticida agrícola organoclorado 
sintético de baixa polaridade, cuja estrutura molecular 
simétrica, de fórmula C12H8Cl6, está ilustrada na figura. 
Introduzido na agricultura a partir da década de 1950, esse 
composto apresenta alta persistência no meio ambiente e 
acumulação nos organismos, sendo danoso para a saúde.
Descrição da ilustração: Estrutura química da 
molécula de Aldrin. Essa ilustração não foi descrita, 
pois suas informações não foram solicitadas para a 
resolução da questão.
Um pesquisador coletou fluidos biológicos de 
indivíduos de uma população contaminada por esse 
inseticida agrícola. Ele analisou amostras de saliva, 
sangue, lágrima, urina e leite quanto à presença dessa 
substância.
Em qual dos fluidos o pesquisador provavelmente 
encontrou a maior concentração dessa substância?","A: Saliva, por consequência da atividade de enzimas.; B: Sangue, em função das hemácias e leucócitos.; C: Lágrima, em razão da concentração de sais.; D: Urina, pela presença de moléculas de ureia.; E: Leite, por causa do alto teor de gorduras.",1.60649,E
93,"Cafeteria adota copo reutilizável 
feito com casca de café
Uma cafeteria adotou copos fabricados a partir de 
uma composição de 50 por cento de plástico reciclado 
não biodegradável e 50 por cento de casca de café.  
O copo é reutilizável e retornável, pois o material, 
semelhante a uma cerâmica, suporta a lavagem. Embora 
ele seja comercializado por um preço considerado alto 
quando comparado ao de um copo de plástico descartável, 
essa cafeteria possibilita aos clientes retornarem o copo 
sujo e levarem o café quente servido em outro copo já 
limpo e higienizado. O material desse copo oferece 
também o conforto de não esquentar na parte externa.
Quais duas vantagens esse copo apresenta em 
comparação ao copo descartável?","A: Ter a durabilidade de uma cerâmica e ser totalmente 
biodegradável.; B: Ser tão durável quanto uma cerâmica e ter alta 
condutividade térmica.; C: Ser um mau condutor térmico e aumentar o resíduo 
biodegradável na natureza.; D: Ter baixa condutividade térmica e reduzir o resíduo 
não biodegradável na natureza.; E: Ter alta condutividade térmica e possibilitar a 
degradação do material no meio ambiente.",0.32873,D
94,"Um método simples para avaliar o teor 
de sacarose e CO2 em refrigerantes
O consumo exagerado de refrigerantes é preocupante, 
pois contribui para o aumento de casos de obesidade e 
diabetes. Considere dois refrigerantes enlatados, um 
comum e um diet, e que ambos possuam a mesma 
quantidade de aditivos, exceto pela presença de 
açúcar. O refrigerante comum contém basicamente 
água carbonatada e grande quantidade de açúcar; já o 
refrigerante diet tem água carbonatada e adoçantes, cujas 
massas são muito pequenas.
Entre as duas versões apresentadas, o refrigerante 
comum possui",A: maior densidade.; B: menor viscosidade.; C: maior volume de gás dissolvido.; D: menor massa de solutos dissolvidos.; E: maior temperatura de congelamento.,0.49481,A
95,"O descarte de detergentes comuns nos esgotos 
domésticos ocasiona a formação de uma camada de 
espuma que impede a entrada de oxigênio na água.  
Os microrganismos que vivem nessas águas não são 
capazes de quebrar moléculas ramificadas, ocorrendo 
assim um desequilíbrio ambiental nos rios. A fórmula a seguir 
representa a estrutura química de um tensoativo presente 
na composição de um detergente não biodegradável.
Descrição da estrutura química: Estrutura do 
tensoativo não biodegradável, que tem como cadeia 
principal o grupo benzenossulfonato de sódio (anel 
aromático ligado a SO3 de carga negativa, que interage 
com o cátion Na de carga positiva). Ao anel aromático 
desse grupo encontra-se ligada uma ramificação com 
uma cadeia carbônica de sete átomos de carbono que 
contém, em seis deles, ramificações com grupos CH3.
Tensoativo não biodegradável
Qual modificação química na estrutura desse tensoativo 
o tornaria um detergente biodegradável?",A: Retirar a parte polar da molécula.; B: Eliminar as insaturações do anel aromático.; C: Trocar o grupo aniônico por um grupo neutro.; D: Alterar o grupo aniônico por um grupo catiônico.; E: Modificar a cadeia carbônica para cadeia normal.,1.43988,E
96,"Avaliação de substâncias genotóxicas
Micronúcleos em células tumorais: biologia 
e implicações para a tumorigênese
O ensaio de micronúcleos é um teste de avaliação de 
genotoxicidade que associa a presença de micronúcleos 
(pequenos núcleos que aparecem próximo aos núcleos 
das células) com lesões genéticas. Os micronúcleos são 
fragmentos de DNA encapsulados, provenientes do fuso 
mitótico durante a divisão celular.
Os micronúcleos se originam dos(as)",A: nucléolos.; B: lisossomos.; C: ribossomos.; D: mitocôndrias.; E: cromossomos.,1.75342,E
97,"O petróleo é uma matéria-prima muito valiosa 
e métodos geofísicos são úteis na sua prospecção. 
É possível identificar a composição de materiais 
estratificados medindo-se a velocidade de propagação 
do som (onda mecânica) através deles. Considere que 
uma camada de 450 metros de um líquido se encontra 
presa no subsolo entre duas camadas rochosas, conforme 
o esquema. Um pulso acústico (que gera uma vibração 
mecânica) é emitido a partir da superfície do solo, onde 
são posteriormente recebidas duas vibrações refletidas 
(ecos). A primeira corresponde à reflexão do pulso na 
interface superior do líquido com a camada rochosa.  
A segunda vibração deve-se à reflexão do pulso na 
interface inferior. O tempo entre a emissão do pulso e 
a chegada do primeiro eco é de 0,5 segundo. O segundo 
eco chega 1,1 segundo após a emissão do pulso.
Descrição do esquema: O esquema apresenta um 
corte transversal da crosta terrestre em que se tem, de 
cima para baixo, uma camada de rocha, uma camada 
de líquido e outra camada de rocha. A espessura da 
camada de líquido é de 450 metros. Na parte superior 
da crosta terrestre, tem-se a representação de um 
emissor e detector de pulsos.
A velocidade do som na camada líquida, em metro por 
segundo, é",A: duzentos e setenta; B: quinhentos e quarenta; C: oitocentos e dezoito; D: mil e quinhentos; E: mil e oitocentos,1.63479,D
98,"O manual de um automóvel alerta sobre os cuidados em relação à pressão do ar no interior dos pneus. 
Recomenda-se que a pressão seja verificada com os pneus frios (à temperatura ambiente). Um motorista, desatento 
a essa informação, realizou uma viagem longa sobre o asfalto quente e, em seguida, verificou que a pressão 
P zero no interior dos pneus não era a recomendada pelo fabricante. Na ocasião, a temperatura dos pneus era 
T zero. Após um longo período em repouso, os pneus do carro atingiram a temperatura ambiente T. Durante o 
resfriamento, não há alteração no volume dos pneus e na quantidade de ar no seu interior. Considere o ar dos pneus 
um gás perfeito (também denominado gás ideal).
Durante o processo de resfriamento, os valores de pressão em relação à temperatura (P versus T) são representados 
pelo gráfico:","A: Descrição do gráfico: A pressão permanece 
constante com a diminuição da temperatura entre 
T zero e T. Em T, a temperatura não se altera, e 
a pressão diminui.; B: Descrição do gráfico: A pressão aumenta 
linearmente com a diminuição da temperatura 
entre T zero e T.; C: Descrição do gráfico: A pressão permanece 
constante com a diminuição da temperatura entre 
T zero e T.; D: Descrição do gráfico: A pressão diminui 
linearmente com a diminuição da temperatura 
entre T zero e T.; E: Descrição do gráfico: A pressão aumenta como 
um arco de parábola para cima com a diminuição 
da temperatura entre T zero e T.",0.95966,E
99,"Pais com síndrome de Down
Três anos após dar à luz, mãe portadora de síndrome de Down revela detalhes de seu dia a dia
A síndrome de Down é uma alteração genética associada à trissomia do cromossomo 21, ou seja, o indivíduo possui 
três cromossomos 21 e não um par, como é normal. Isso ocorre pela união de um gameta contendo um cromossomo 
21 com um gameta possuidor de dois cromossomos 21. Embora, normalmente, as mulheres com a síndrome sejam 
estéreis, em 2008, no interior de São Paulo, uma delas deu à luz uma menina sem a síndrome de Down.
Sabendo disso, um jovem casal, ambos com essa síndrome, procura um médico especialista para aconselhamento 
genético porque querem ter um bebê.
O médico informa ao casal que, com relação ao cromossomo 21, os zigotos formados serão","A: todos normais.; B: todos tetrassômicos.; C: apenas normais ou tetrassômicos.; D: apenas trissômicos ou tetrassômicos.; E: normais, trissômicos ou tetrassômicos.",1.4199,E
100,"Para que uma molécula dê origem a um medicamento de administração oral, além de apresentar atividade 
farmacológica, deve ser capaz de atingir o local de ação. Para tanto, essa molécula não deve se degradar no estômago 
(onde o meio é fortemente ácido e há várias enzimas que reagem mediante catálise ácida), deve ser capaz de atravessar 
as membranas celulares e ser solúvel no plasma sanguíneo (sistema aquoso). Para os fármacos cujas estruturas 
são formadas por cadeias carbônicas longas contendo pelo menos um grupamento amino, um recurso tecnológico 
empregado é sua conversão no cloridrato correspondente. Essa conversão é representada, de forma genérica, pela 
equação química:
Descrição da equação química: O reagente R3N mais HCl formam o produto R3NH de carga positiva e Cl de 
carga negativa.
R3N + HCl 
 (R3NH)+Cl–
O aumento da eficiência de circulação do fármaco no sangue, promovido por essa conversão, deve-se ao incremento 
de seu(sua)",A: basicidade.; B: lipofilicidade.; C: caráter iônico.; D: cadeia carbônica.; E: estado de oxidação.,1.21005,C
