numero_questao,enunciado,alternativas,gabarito,nu_param_B
46,"A vacina, o soro e os antibióticos submetem os organismos a processos biológicos diferentes. Pessoas que viajam para regiões em que ocorrem altas incidências de febre amarela, de picadas de cobras peçonhentas e de leptospirose e querem evitar ou tratar problemas de saúde relacionados a essas ocorrências devem seguir determinadas orientações. Ao procurar um posto de saúde, um viajante deveria ser orientado por um médico a tomar preventivamente ou como medida de tratamento","A: antibiótico contra o vírus da febre amarela, soro antiofídico caso seja picado por uma cobra e vacina contra a leptospirose.; B: vacina contra o vírus da febre amarela, soro antiofídico caso seja picado por uma cobra e antibiótico caso entre em contato com a Leptospira sp.; C: soro contra o vírus da febre amarela, antibiótico caso seja picado por uma cobra e soro contra toxinas bacterianas.; D: antibiótico ou soro, tanto contra o vírus da febre amarela como para veneno de cobras, e vacina contra a leptospirose.; E: soro antiofídico e antibiótico contra a Leptospira sp e vacina contra a febre amarela caso entre em contato com o vírus causador da doença.",B,-0.19844
47,"As ondas eletromagnéticas, como a luz visível e as ondas de rádio, viajam em linha reta em um meio homogêneo. Então, as ondas de rádio emitidas na região litorânea do Brasil não alcançariam a região amazônica do Brasil por causa da curvatura da Terra. Entretanto sabemos que é possível transmitir ondas de rádio entre essas localidades devido à ionosfera. Com a ajuda da ionosfera, a transmissão de ondas planas entre o litoral do Brasil e a região amazônica é possível por meio da",A: reflexão.; B: refração.; C: difração.; D: polarização.; E: interferência,A,1.59673
48,"Todo carro possui uma caixa de fusíveis, que são utilizados para proteção dos circuitos elétricos. Os fusíveis são constituídos de um material de baixo ponto de fusão, como o estanho, por exemplo, e se fundem quando percorridos por uma corrente elétrica igual ou maior do que aquela que são capazes de suportar. O quadro a seguir mostra uma série de fusíveis e os valores de corrente por eles suportados. Fusível Corrente Elétrica (A) Azul 1,5 Amarelo 2,5 Laranja 5,0 Preto 7,5 Vermelho 10,0 Um farol usa uma lâmpada de gás halogênio de 55 W de potência que opera com 36 V. Os dois faróis são ligados separadamente, com um fusível para cada um, mas, após um mau funcionamento, o motorista passou a conectá-los em paralelo, usando apenas um fusível. Dessa forma, admitindo-se que a fiação suporte a carga dos dois faróis, o menor valor de fusível adequado para proteção desse novo circuito é o",A: azul.; B: preto.; C: laranja.; D: amarelo.; E: vermelho.,C,1.69985
49,"A cárie dental resulta da atividade de bactérias que degradam os açúcares e os transformam em ácidos que corroem a porção mineralizada dos dentes. O flúor, juntamente com o cálcio e um açúcar chamado xilitol, agem inibindo esse processo. Quando não se escovam os dentes corretamente e neles acumulam-se restos de alimentos, as bactérias que vivem na boca aderem aos dentes, formando a placa bacteriana ou biofilme. Na placa, elas transformam o açúcar dos restos de alimentos em ácidos, que corroem o esmalte do dente formando uma cavidade, que é a cárie. Vale lembrar que a placa bacteriana se forma mesmo na ausência de ingestão de carboidratos fermentáveis, pois as bactérias possuem polissacarídeos intracelulares de reserva. cárie 1. destruição de um osso por corrosão progressiva. * cárie dentária: efeito da destruição da estrutura dentária por bactérias. A partir da leitura do texto, que discute as causas do aparecimento de cáries, e da sua relação com as informações do dicionário, conclui-se que a cárie dental resulta, principalmente, de","A: falta de flúor e de cálcio na alimentação diária da população brasileira.; B: consumo exagerado do xilitol, um açúcar, na dieta alimentar diária do indivíduo.; C: redução na proliferação bacteriana quando a saliva é desbalanceada pela má alimentação.; D: uso exagerado do flúor, um agente que em alta quantidade torna-se tóxico à formação dos dentes.; E: consumo excessivo de açúcares na alimentação e má higienização bucal, que contribuem para a proliferação de bactérias.",E,-1.05106
50,"Em nosso cotidiano, utilizamos as palavras “calor” e “temperatura” de forma diferente de como elas são usadas no meio científico. Na linguagem corrente, calor é identificado como “algo quente” e temperatura mede a “quantidade de calor de um corpo”. Esses significados, no entanto, não conseguem explicar diversas situações que podem ser verificadas na prática. Do ponto de vista científico, que situação prática mostra a limitação dos conceitos corriqueiros de calor e temperatura?",A: A temperatura da água pode ficar constante durante o tempo em que estiver fervendo.; B: Uma mãe coloca a mão na água da banheira do bebê para verificar a temperatura da água.; C: A chama de um fogão pode ser usada para aumentar a temperatura da água em uma panela.; D: A água quente que está em uma caneca é passada para outra caneca a fim de diminuir sua temperatura.; E: Um forno pode fornecer calor para uma vasilha de água que está em seu interior com menor temperatura do que a dele.,A,2.22673
51,"O texto “O vôo das Folhas” traz uma visão dos índios Ticunas para um fenômeno usualmente observado na natureza: O vôo das Folhas Com o vento as folhas se movimentam. E quando caem no chão ficam paradas em silêncio. Assim se forma o ngaura. O ngaura cobre o chão da floresta, enriquece a terra e alimenta as árvores.] As folhas velhas morrem para ajudar o crescimento das folhas novas.] Dentro do ngaura vivem aranhas, formigas, escorpiões, centopeias, minhocas, cogumelos e vários tipos de outros seres muito pequenos.] As folhas também caem nos lagos, nos igarapés e igapós. A natureza segundo os Ticunas/Livro das Árvores. Organização Geral dos Professores Bilíngues Ticunas, 2000. Na visão dos índios Ticunas, a descrição sobre o ngaura permite classificá-lo como um produto diretamente relacionado ao ciclo",A: da água.; B: do oxigênio.; C: do fósforo.; D: do carbono.; E: do nitrogênio,D,1.65221
52,"Com o objetivo de se testar a eficiência de fornos de micro-ondas, planejou-se o aquecimento em 10 ºC de amostras de diferentes substâncias, cada uma com determinada massa, em cinco fornos de marcas distintas. Nesse teste, cada forno operou à potência máxima. O forno mais eficiente foi aquele que",A: forneceu a maior quantidade de energia às amostras.; B: cedeu energia à amostra de maior massa em mais tempo.; C: forneceu a maior quantidade de energia em menos tempo.; D: cedeu energia à amostra de menor calor específico mais lentamente.; E: forneceu a menor quantidade de energia às amostras em menos tempo.,C,-0.67482
53,"O fósforo, geralmente representado pelo íon de fosfato ( ), é um ingrediente insubstituível da vida, já que é parte constituinte das membranas celulares e das moléculas do DNA e do trifosfato de adenosina (ATP), principal forma de armazenamento de energia das células. O fósforo utilizado nos fertilizantes agrícolas é extraído de minas, cujas reservas estão cada vez mais escassas. Certas práticas agrícolas aceleram a erosão do solo, provocando o transporte de fósforo para sistemas aquáticos, que fica imobilizado nas rochas. Ainda, a colheita das lavouras e o transporte dos restos alimentares para os lixões diminuem a disponibilidade dos íons no solo. Tais fatores têm ameaçado a sustentabilidade desse íon. Uma medida que amenizaria esse problema seria:","A: Incentivar a reciclagem de resíduos biológicos, utilizando dejetos animais e restos de culturas para produção de adubo.; B: Repor o estoque retirado das minas com um íon sintético de fósforo para garantir o abastecimento da indústria de fertilizantes.; C: Aumentar a importação de íons fosfato dos países ricos para suprir as exigências das indústrias nacionais de fertilizantes.; D: Substituir o fósforo dos fertilizantes por outro elemento com a mesma função para suprir as necessidades do uso de seus íons.; E: Proibir, por meio de lei federal, o uso de fertilizantes com fósforo pelos agricultores, para diminuir sua extração das reservas naturais.",A,0.76122
54,"Júpiter, conhecido como o gigante gasoso, perdeu uma das suas listras mais proeminentes, deixando o seu hemisfério sul estranhamente vazio. Observe a região em que a faixa sumiu, destacada pela seta. Disponível em: http://www.inovacaotecnologica.com.br. Acesso em: 12 maio 2010 (adaptado). A aparência de Júpiter é tipicamente marcada por duas faixas escuras em sua atmosfera — uma no hemisfério norte e outra no hemisfério sul. Como o gás está constantemente em movimento, o desaparecimento da faixa no planeta relaciona-se ao movimento das diversas camadas de nuvens em sua atmosfera. A luz do Sol, refletida nessas nuvens, gera a imagem que é captada pelos telescópios, no espaço ou na Terra. O desaparecimento da faixa sul pode ter sido determinado por uma alteração",A: na temperatura da superfície do planeta.; B: no formato da camada gasosa do planeta.; C: no campo gravitacional gerado pelo planeta.; D: na composição química das nuvens do planeta.; E: na densidade das nuvens que compõem o planeta.,E,1.41425
55,"Em visita a uma usina sucroalcooleira, um grupo de alunos pôde observar a série de processos de beneficiamento da cana-de-açúcar, entre os quais se destacam: 1. A cana chega cortada da lavoura por meio de caminhões e é despejada em mesas alimentadoras que a conduzem para as moendas. Antes de ser esmagada para a retirada do caldo açucarado, toda a cana é transportada por esteiras e passada por um eletroimã para a retirada de materiais metálicos. 2. Após se esmagar a cana, o bagaço segue para as caldeiras, que geram vapor e energia para toda a usina. 3. O caldo primário, resultante do esmagamento, é passado por filtros e sofre tratamento para transformar-se em açúcar refinado e etanol. Com base nos destaques da observação dos alunos, quais operações físicas de separação de materiais foram realizadas nas etapas de beneficiamento da canade-açúcar?","A: Separação mecânica, extração, decantação.; B: Separação magnética, combustão, filtração.; C: Separação magnética, extração, filtração.; D: Imantação, combustão, peneiração.; E: Imantação, destilação, filtração.",C,
56,"A fonte de energia representada na figura, considerada uma das mais limpas e sustentáveis do mundo, é extraída do calor gerado",A: pela circulação do magma no subsolo.; B: pelas erupções constantes dos vulcões.; C: pelo sol que aquece as águas com radiação ultravioleta.; D: pela queima do carvão e combustíveis fósseis.; E: pelos detritos e cinzas vulcânicas.,A,-0.20791
